clocks.current.sm [MHz], power.draw [W], temperature.gpu, clocks_event_reasons.active
1200 MHz, 68.88 W, 56, 0x0000000000000004
1185 MHz, 69.27 W, 56, 0x0000000000000004
1185 MHz, 69.27 W, 56, 0x0000000000000004
1200 MHz, 69.27 W, 56, 0x0000000000000004
1200 MHz, 69.27 W, 56, 0x0000000000000004
1185 MHz, 68.98 W, 56, 0x0000000000000004
1185 MHz, 68.98 W, 56, 0x0000000000000004
1200 MHz, 68.98 W, 56, 0x0000000000000004
1200 MHz, 69.02 W, 56, 0x0000000000000004
1185 MHz, 69.02 W, 56, 0x0000000000000004
1185 MHz, 69.02 W, 56, 0x0000000000000004
1200 MHz, 69.12 W, 56, 0x0000000000000004
1215 MHz, 69.12 W, 56, 0x0000000000000004
1215 MHz, 69.12 W, 56, 0x0000000000000004
1200 MHz, 68.88 W, 56, 0x0000000000000004
1200 MHz, 68.88 W, 56, 0x0000000000000004
1200 MHz, 68.88 W, 56, 0x0000000000000004
1200 MHz, 68.88 W, 56, 0x0000000000000004
1200 MHz, 70.15 W, 56, 0x0000000000000004
1185 MHz, 70.15 W, 56, 0x0000000000000004
1185 MHz, 70.15 W, 56, 0x0000000000000004
1185 MHz, 69.12 W, 56, 0x0000000000000004
1185 MHz, 69.12 W, 56, 0x0000000000000004
1185 MHz, 69.12 W, 56, 0x0000000000000004
1185 MHz, 69.12 W, 56, 0x0000000000000004
1200 MHz, 69.66 W, 56, 0x0000000000000004
1185 MHz, 69.66 W, 56, 0x0000000000000004
1185 MHz, 69.66 W, 56, 0x0000000000000004
1185 MHz, 69.17 W, 56, 0x0000000000000004
1185 MHz, 69.17 W, 56, 0x0000000000000004
1185 MHz, 69.17 W, 56, 0x0000000000000004
1200 MHz, 69.17 W, 56, 0x0000000000000004
1185 MHz, 69.21 W, 56, 0x0000000000000004
1185 MHz, 69.21 W, 56, 0x0000000000000004
1185 MHz, 69.21 W, 56, 0x0000000000000004
1200 MHz, 69.02 W, 56, 0x0000000000000004
1185 MHz, 69.02 W, 56, 0x0000000000000004
1185 MHz, 69.02 W, 56, 0x0000000000000004
1185 MHz, 69.02 W, 56, 0x0000000000000004
1185 MHz, 69.31 W, 57, 0x0000000000000004
1185 MHz, 69.31 W, 57, 0x0000000000000004
1185 MHz, 69.31 W, 57, 0x0000000000000004
1185 MHz, 69.96 W, 57, 0x0000000000000004
1185 MHz, 69.96 W, 57, 0x0000000000000004
1185 MHz, 69.96 W, 57, 0x0000000000000004
1185 MHz, 69.90 W, 57, 0x0000000000000004
1185 MHz, 69.90 W, 57, 0x0000000000000004
1200 MHz, 69.90 W, 57, 0x0000000000000004
1200 MHz, 69.90 W, 57, 0x0000000000000004
1200 MHz, 68.63 W, 57, 0x0000000000000004
1185 MHz, 68.63 W, 57, 0x0000000000000004
1185 MHz, 68.63 W, 57, 0x0000000000000004
1185 MHz, 69.41 W, 57, 0x0000000000000004
1185 MHz, 69.41 W, 57, 0x0000000000000004
1185 MHz, 69.41 W, 57, 0x0000000000000004
1185 MHz, 69.96 W, 57, 0x0000000000000004
1185 MHz, 69.96 W, 57, 0x0000000000000004
1185 MHz, 69.96 W, 57, 0x0000000000000004
1185 MHz, 69.96 W, 57, 0x0000000000000004
1185 MHz, 69.86 W, 57, 0x0000000000000004
1185 MHz, 69.86 W, 57, 0x0000000000000004
1185 MHz, 69.86 W, 57, 0x0000000000000004
1185 MHz, 69.96 W, 57, 0x0000000000000004
1245 MHz, 69.96 W, 56, 0x0000000000000004
1500 MHz, 69.96 W, 56, 0x0000000000000004
1545 MHz, 69.96 W, 56, 0x0000000000000004
1560 MHz, 34.71 W, 55, 0x0000000000000004
1575 MHz, 34.71 W, 55, 0x0000000000000004
1575 MHz, 34.71 W, 55, 0x0000000000000004
1575 MHz, 34.71 W, 55, 0x0000000000000004
1590 MHz, 35.28 W, 55, 0x0000000000000000
1590 MHz, 35.28 W, 55, 0x0000000000000000
1590 MHz, 35.28 W, 55, 0x0000000000000000
